covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
kdigo_stage_1,0.7141804914947611,2.0425121401306257,0.027044601863687425,0.6611740458657089,0.7671869371238134,1.937065203308339,2.1536992329715186,0.0,26.40750620380497,1.1235111597163576e-153,508.0869840630417
kdigo_stage_2,1.1331642235294628,3.1054673629572678,0.043669350850562075,1.0475738686341176,1.218754578424808,2.8507264844848406,3.3829718827394055,0.0,25.948730664836013,1.879279561602607e-148,490.7351783453119
kdigo_stage_3,1.4502355305039747,4.264118726935687,0.03244974344625758,1.3866352020417452,1.5138358589662042,4.001363596058886,4.544128040579103,0.0,44.69174102734639,0.0,inf
anchor_age,0.03586668426948058,1.0365176531713278,0.0007118533398099862,0.034471477361178456,0.037261891177782704,1.0350725049558602,1.0379648190747879,0.0,50.384935019135284,0.0,inf
male,-0.055757322141766465,0.9457686251476246,0.018838662493934573,-0.09268042214678374,-0.018834222136749186,0.9114847440938849,0.9813420335442223,0.0,-2.959728280058018,0.003079104855462331,8.343273287081324
com_Sepsis,0.44736687372770073,1.5641880535343278,0.020357737940160985,0.4074664405582806,0.4872673068971209,1.5030050046788592,1.6278616898832494,0.0,21.975274219693734,4.9654156234826454e-107,353.1343916712784
com_Congestive_Heart_Failure,-0.10262677645379505,0.90246373134876,0.021807207399223618,-0.14536811755966872,-0.05988543534792137,0.8647039218177692,0.9418724326909726,0.0,-4.706094392326858,2.5250763620341843e-06,18.59524155157372
com_Diabetes_complicated,-0.31526873012113493,0.7295927843652834,0.023038402121769243,-0.3604231685411538,-0.27011429170111606,0.6973811538561325,0.7632922513815161,0.0,-13.684487685160855,1.2568989095979198e-42,139.19111136453748
com_Chronic_Pulmonary,-0.08082246509535537,0.9223574275476892,0.020689041283627425,-0.12137224088592746,-0.04027268930478329,0.8857042029050635,0.9605274778667614,0.0,-3.9065350582153564,9.36290642183387e-05,13.38268403549419
com_Liver_Disease,0.43038101376929644,1.5378433514288652,0.023892176654590466,0.3835532080140305,0.4772088195245624,1.4674896325804432,1.6115699361878282,0.0,18.013470266494377,1.5274529061066558e-72,238.5676949318289
com_Metastatic_Cancer,0.763614068244099,2.1460180780565263,0.024657098656296644,0.7152870429145066,0.8119410935736915,2.044773535783672,2.2522756240486954,0.0,30.969339859825567,1.3951959632930569e-210,697.1244321552481
com_Cerebrovascular,0.13580445594670437,1.1454578842161656,0.021038739158247374,0.09456928491640698,0.17703962697700176,1.0991853174576225,1.1936783940562048,0.0,6.454971228324194,1.0823946479431954e-10,33.10505433804308
com_Coagulopathy,0.07523543120482672,1.0781379483236841,0.021736996232705107,0.03263170145664187,0.11783916095301156,1.0331699541719812,1.1250631427306423,0.0,3.4611696298511014,0.0005378338024516205,10.86055194918653
com_Myocardial_Infarction,-0.006842285408241148,0.9931810697286998,0.023343770342483642,-0.052595234542883326,0.038910663726401035,0.9487639616510093,1.0396775985788151,0.0,-0.29310969512875906,0.769438306425585,0.3781224390057151
ckd_icd,-0.32853668000665315,0.7199765189979711,0.024023851481861196,-0.3756225636810403,-0.281450796332266,0.6868615306116849,0.7546880481817123,0.0,-13.6754375231927,1.4234849521680005e-42,139.0115527430126
log_cr_ratio,0.04546098075279838,1.0465101697782682,0.02938603486472275,-0.012134589230496574,0.10305655073609332,0.9879387379991141,1.1085540968536471,0.0,1.5470267071442574,0.1218568057377319,3.036741266641994
