time_h,survival,stage
0.0,0.9999777453849489,0
0.01666666666666572,0.9999443601189056,0
0.03333333333333144,0.9999332310776132,0
0.05000000000000071,0.9999221012930885,0
0.06666666666666288,0.9998998389983069,0
0.0833333333333286,0.9998998389983069,0
0.10000000000000142,0.9998998389983069,0
0.11666666666666714,0.9998998389983069,0
0.13333333333333286,0.9998887054960355,0
0.14999999999999858,0.9998887054960355,0
0.16666666666666785,0.9998775687696446,0
0.18333333333333357,0.9998775687696446,0
0.1999999999999993,0.9998664303063971,0
0.216666666666665,0.9998552913468011,0
0.23333333333333073,0.9998441510219981,0
0.25,0.9998441510219981,0
0.2666666666666657,0.9998441510219981,0
0.28333333333333144,0.99982186540624,0
0.3000000000000007,0.99982186540624,0
0.3166666666666629,0.9998107201141205,0
0.3333333333333286,0.9997995738279853,0
0.3500000000000014,0.9997995738279853,0
0.36666666666666714,0.9997549767508469,0
0.38333333333333286,0.9997549767508469,0
0.3999999999999986,0.9997326737352581,0
0.41666666666666785,0.9997103679827675,0
0.43333333333333357,0.9997103679827675,0
0.4499999999999993,0.9997103679827675,0
0.466666666666665,0.9997103679827675,0
0.48333333333333073,0.9997103679827675,0
0.5,0.9997103679827675,0
0.5166666666666657,0.9997103679827675,0
0.5333333333333314,0.9997103679827675,0
0.5500000000000007,0.9997103679827675,0
0.5666666666666629,0.9997103679827675,0
0.5833333333333286,0.9997103679827675,0
0.6000000000000014,0.9997103679827675,0
0.6166666666666671,0.9996992011537474,0
0.6333333333333329,0.9996880338257624,0
0.6499999999999986,0.9996880338257624,0
0.6666666666666679,0.9996768642518594,0
0.6833333333333336,0.9996768642518594,0
0.6999999999999993,0.9996768642518594,0
0.716666666666665,0.9996656920565479,0
0.7333333333333307,0.9996545186125004,0
0.75,0.9996433444190687,0
0.7666666666666657,0.9996321686016079,0
0.7833333333333314,0.9996098154672471,0
0.8000000000000007,0.9995874605832481,0
0.8166666666666629,0.9995651041993071,0
0.8333333333333286,0.9995651041993071,0
0.8500000000000014,0.9995539242569738,0
0.8666666666666671,0.9995427434392448,0
0.8833333333333329,0.9995203808031974,0
0.8999999999999986,0.9995203808031974,0
0.9166666666666679,0.9995203808031974,0
0.9333333333333336,0.9994980124119026,0
0.9499999999999993,0.9994868270898004,0
0.966666666666665,0.9994868270898004,0
0.9833333333333307,0.9994868270898004,0
1.0,0.9994756398897471,0
1.0166666666666657,0.9994644519383298,0
1.0333333333333314,0.9994532631101811,0
1.0500000000000007,0.9994532631101811,0
1.0666666666666629,0.9994532631101811,0
1.0833333333333286,0.9994532631101811,0
1.1000000000000014,0.9994308756794665,0
1.1166666666666671,0.9994084869949763,0
1.1333333333333329,0.9993972915241305,0
1.1499999999999986,0.9993860950498802,0
1.1666666666666679,0.9993860950498802,0
1.1833333333333336,0.9993748971956417,0
1.1999999999999993,0.9993524989774761,0
1.216666666666665,0.9993077010350786,0
1.2333333333333307,0.9992965007963374,0
1.25,0.9992740988123486,0
1.2666666666666657,0.9992740988123486,0
1.2833333333333314,0.9992740988123486,0
1.3000000000000007,0.9992740988123486,0
1.3166666666666629,0.9992740988123486,0
1.3333333333333286,0.9992628934242603,0
1.3500000000000014,0.9992628934242603,0
1.3666666666666671,0.9992516857739575,0
1.3833333333333329,0.9992404772436448,0
1.3999999999999986,0.9992068501439245,0
1.4166666666666679,0.9992068501439245,0
1.4333333333333336,0.9992068501439245,0
1.4499999999999993,0.9991956387210745,0
1.466666666666665,0.9991732133591462,0
1.4833333333333307,0.9991732133591462,0
1.5,0.9991507844734739,0
1.5166666666666657,0.9991507844734739,0
1.5333333333333314,0.9991395687717908,0
1.5500000000000007,0.9991283524405699,0
1.5666666666666629,0.9991283524405699,0
1.5833333333333286,0.9991171348500498,0
1.6000000000000014,0.9991171348500498,0
1.6166666666666671,0.999094696645911,0
1.6333333333333329,0.999094696645911,0
1.6499999999999986,0.9990834756537877,0
1.6666666666666679,0.9990498107869207,0
1.6833333333333336,0.9990498107869207,0
1.6999999999999993,0.9990161410035974,0
1.716666666666665,0.9990049169859256,0
1.7333333333333307,0.9990049169859256,0
1.75,0.9989936912025185,0
1.7666666666666657,0.9989936912025185,0
1.7833333333333314,0.9989936912025185,0
1.8000000000000007,0.998982463274233,0
1.8166666666666629,0.9989375465127358,0
1.8333333333333286,0.998926316059931,0
1.8500000000000014,0.9989150848495242,0
1.8666666666666671,0.998903852628809,0
1.8833333333333329,0.998903852628809,0
1.8999999999999986,0.998903852628809,0
1.9166666666666679,0.9988701468705198,0
1.9333333333333336,0.9988701468705198,0
1.9499999999999993,0.9988589101010676,0
1.966666666666665,0.9988589101010676,0
1.9833333333333307,0.9988139564490185,0
2.0,0.9988027177830964,0
2.0166666666666657,0.9988027177830964,0
2.0333333333333314,0.9987914764609076,0
2.0500000000000007,0.9987914764609076,0
2.066666666666663,0.9987914764609076,0
2.0833333333333286,0.9987802331140304,0
2.1000000000000014,0.9987802331140304,0
2.116666666666667,0.9987577421161676,0
2.133333333333333,0.9987352506118181,0
2.1499999999999986,0.9987240038465353,0
2.166666666666668,0.9987240038465353,0
2.1833333333333336,0.9987240038465353,0
2.1999999999999993,0.9987240038465353,0
2.216666666666665,0.9987127537873548,0
2.2333333333333307,0.9986902513876748,0
2.25,0.9986677456918682,0
2.2666666666666657,0.998656491829509,0
2.2833333333333314,0.9986452369525004,0
2.3000000000000007,0.9986452369525004,0
2.316666666666663,0.9986339801725076,0
2.3333333333333286,0.9986227226311339,0
2.3500000000000014,0.9986227226311339,0
2.366666666666667,0.9986114630588827,0
2.383333333333333,0.9986114630588827,0
2.3999999999999986,0.998600201962973,0
2.416666666666668,0.9985889399780616,0
2.4333333333333336,0.9985889399780616,0
2.4499999999999993,0.9985664139758744,0
2.466666666666665,0.9985438864491357,0
2.4833333333333307,0.9985438864491357,0
2.5,0.9985438864491357,0
2.5166666666666657,0.9985438864491357,0
2.5333333333333314,0.9985438864491357,0
2.5500000000000007,0.9985438864491357,0
2.566666666666663,0.9985326183641597,0
2.5833333333333286,0.9985326183641597,0
2.6000000000000014,0.9985326183641597,0
2.616666666666667,0.9985213477354822,0
2.633333333333333,0.9985213477354822,0
2.6499999999999986,0.9985100751982532,0
2.666666666666668,0.9984988016428546,0
2.6833333333333336,0.9984875275782963,0
2.6999999999999993,0.9984875275782963,0
2.716666666666665,0.998476251858634,0
2.7333333333333307,0.998476251858634,0
2.75,0.9984649744833609,0
2.7666666666666657,0.9984649744833609,0
2.7833333333333314,0.9984649744833609,0
2.8000000000000007,0.9984649744833609,0
2.816666666666663,0.9984424128524847,0
2.8333333333333286,0.998419849437092,0
2.8500000000000014,0.998419849437092,0
2.866666666666667,0.9984085660719335,0
2.883333333333333,0.9983859985764876,0
2.8999999999999986,0.9983859985764876,0
2.916666666666668,0.9983634275096696,0
2.9333333333333336,0.9983295697612555,0
2.9499999999999993,0.9983295697612555,0
2.966666666666665,0.9983295697612555,0
2.9833333333333307,0.9983295697612555,0
3.0,0.9983182805269317,0
3.0166666666666657,0.9983069906542644,0
3.0333333333333314,0.9983069906542644,0
3.0500000000000007,0.998295699121546,0
3.066666666666663,0.998295699121546,0
3.0833333333333286,0.9982844065670055,0
3.1000000000000014,0.9982618199249271,0
3.116666666666667,0.9982505260928202,0
3.133333333333333,0.9982505260928202,0
3.1499999999999986,0.9982392303437756,0
3.166666666666668,0.9982166360333175,0
3.1833333333333336,0.9981940401885099,0
3.1999999999999993,0.9981940401885099,0
3.216666666666665,0.9981827403476712,0
3.2333333333333307,0.9981827403476712,0
3.25,0.9981601383632195,0
3.2666666666666657,0.9981601383632195,0
3.2833333333333314,0.9981601383632195,0
3.3000000000000007,0.998137532027705,0
3.316666666666663,0.998137532027705,0
3.3333333333333286,0.998137532027705,0
3.3500000000000014,0.9981149198026547,0
3.366666666666667,0.9980809991596707,0
3.383333333333333,0.9980696920224871,0
3.3999999999999986,0.9980583842447741,0
3.416666666666668,0.9980583842447741,0
3.4333333333333336,0.9980583842447741,0
3.4499999999999993,0.9980470740323605,0
3.466666666666665,0.998024452325747,0
3.4833333333333307,0.9980018295935777,0
3.5,0.9979905177146575,0
3.5166666666666657,0.9979678921616475,0
3.5333333333333314,0.9979452658391741,0
3.5500000000000007,0.9979452658391741,0
3.566666666666663,0.9979113209680609,0
3.5833333333333286,0.9978773722476254,0
3.6000000000000014,0.9978321052336765,0
3.616666666666667,0.9978207878384163,0
3.633333333333333,0.9978094692877706,0
3.6499999999999986,0.9977981498383182,0
3.666666666666668,0.9977755096552118,0
3.6833333333333336,0.9977641884076682,0
3.6999999999999993,0.9977415448848742,0
3.716666666666665,0.9977415448848742,0
3.7333333333333307,0.9977415448848742,0
3.75,0.9977302213245773,0
3.7666666666666657,0.9977302213245773,0
3.7833333333333314,0.9977302213245773,0
3.8000000000000007,0.9977188959647884,0
3.816666666666663,0.9977188959647884,0
3.8333333333333286,0.9977075695764499,0
3.8500000000000014,0.9976962425451664,0
3.866666666666667,0.9976962425451664,0
3.883333333333333,0.9976962425451664,0
3.8999999999999986,0.9976962425451664,0
3.916666666666668,0.9976962425451664,0
3.9333333333333336,0.9976962425451664,0
3.9499999999999993,0.9976849116546318,0
3.966666666666665,0.9976849116546318,0
3.9833333333333307,0.9976849116546318,0
4.0,0.9976849116546318,0
4.016666666666666,0.9976849116546318,0
4.033333333333331,0.9976622431798605,0
4.050000000000001,0.9976282377634016,0
4.066666666666663,0.9976282377634016,0
4.083333333333329,0.997594227709841,0
4.100000000000001,0.997594227709841,0
4.116666666666667,0.997594227709841,0
4.133333333333333,0.997594227709841,0
4.149999999999999,0.997594227709841,0
4.166666666666668,0.9975828865144654,0
4.183333333333334,0.9975828865144654,0
4.199999999999999,0.9975715440295979,0
4.216666666666665,0.9975715440295979,0
4.233333333333331,0.9975715440295979,0
4.25,0.9975715440295979,0
4.266666666666666,0.9975715440295979,0
4.283333333333331,0.9975601984487225,0
4.300000000000001,0.9975488517063948,0
4.316666666666663,0.9975375040605399,0
4.333333333333329,0.9975375040605399,0
4.350000000000001,0.9975261549945524,0
4.366666666666667,0.9975148045080587,0
4.383333333333333,0.9975034535049251,0
4.399999999999999,0.9975034535049251,0
4.416666666666668,0.9974807486566084,0
4.433333333333334,0.9974693958448279,0
4.449999999999999,0.9974580419992473,0
4.466666666666665,0.9974466875074376,0
4.483333333333331,0.9974126228686778,0
4.5,0.9974126228686778,0
